engagement_id,event_date,school_id,school_name,action,recruiter_hours,contacts,appointments,qualified,contracts,access_score,distance_miles
E1212,2026-04-16,S015,Summit High,Healthcare Careers Session,6,37,16,11,5,0.86,16
E1218,2026-04-16,S016,Cedar Grove High,STEM Careers Presentation,8,21,8,6,0,0.94,6
E1354,2026-04-16,S027,Valley Tech,Cyber Careers Event,8,30,14,6,0,0.76,11
E1056,2026-04-17,S003,Washington High,Healthcare Careers Session,6,41,10,7,1,0.72,18
E1257,2026-04-18,S019,Monroe High,Healthcare Careers Session,8,31,13,6,1,0.61,30
E1458,2026-04-18,S034,Pioneer High,Healthcare Careers Session,8,45,12,3,1,0.68,39
E1283,2026-04-19,S021,Hamilton High,Education Benefits Session,4,43,11,8,1,0.69,33
E1011,2026-04-20,S001,Lincoln High,Mechanical Careers Demo,9,51,29,14,7,0.9,8
E1160,2026-04-20,S011,Eastview High,Mechanical Careers Demo,7,38,13,8,1,0.61,41
E1163,2026-04-20,S011,Eastview High,Education Benefits Session,7,31,8,5,2,0.61,41
E1092,2026-04-21,S006,Lakeside Academy,STEM Careers Presentation,7,47,16,7,1,0.94,32
E1015,2026-04-22,S001,Lincoln High,Healthcare Careers Session,7,43,17,4,0,0.9,8
E1198,2026-04-22,S014,Oak Valley High,General Recruiting Table,6,43,16,7,1,0.72,9
E1258,2026-04-23,S019,Monroe High,Healthcare Careers Session,6,31,11,3,1,0.61,30
E1187,2026-04-24,S014,Oak Valley High,Cyber Careers Event,9,29,12,6,2,0.72,9
E1062,2026-04-25,S003,Washington High,General Recruiting Table,3,30,13,7,1,0.72,18
E1048,2026-04-26,S003,Washington High,STEM Careers Presentation,6,45,12,6,4,0.72,18
E1369,2026-04-27,S028,Mountain View High,STEM Careers Presentation,7,44,13,6,1,0.78,34
E1014,2026-04-28,S001,Lincoln High,Healthcare Careers Session,5,61,25,8,1,0.9,8
E1181,2026-04-28,S013,Pine Ridge High,Cyber Careers Event,9,54,19,14,8,0.75,46
E1312,2026-04-28,S024,Grant High,Cyber Careers Event,6,18,6,2,0,0.74,46
E1007,2026-04-29,S001,Lincoln High,STEM Careers Presentation,6,52,20,5,3,0.9,8
E1221,2026-04-29,S016,Cedar Grove High,Mechanical Careers Demo,7,34,10,7,1,0.94,6
E1231,2026-04-30,S017,Parkview High,STEM Careers Presentation,6,30,15,10,3,0.92,19
E1342,2026-04-30,S025,Wilson High,General Recruiting Table,5,35,15,6,0,0.71,13
E1471,2026-04-30,S035,Union High,Mechanical Careers Demo,9,39,8,6,4,0.86,23
E1462,2026-05-01,S034,Pioneer High,General Recruiting Table,5,31,11,7,1,0.68,39
E1479,2026-05-03,S035,Union High,Education Benefits Session,4,42,11,8,2,0.86,23
E1141,2026-05-04,S009,Central High,Cyber Careers Event,6,40,8,5,0,0.8,12
E1345,2026-05-04,S026,Heritage High,Mechanical Careers Demo,7,33,18,12,5,0.96,39
E1475,2026-05-04,S035,Union High,Healthcare Careers Session,8,36,16,7,4,0.86,23
E1135,2026-05-07,S008,Franklin High,Healthcare Careers Session,6,43,15,9,3,0.71,47
E1136,2026-05-07,S008,Franklin High,Healthcare Careers Session,6,34,14,5,3,0.71,47
E1237,2026-05-07,S017,Parkview High,Healthcare Careers Session,8,43,16,9,4,0.92,19
E1336,2026-05-07,S025,Wilson High,Education Benefits Session,5,30,14,7,1,0.71,13
E1082,2026-05-09,S005,North County Tech,Mechanical Careers Demo,9,46,16,14,8,0.8,22
E1165,2026-05-10,S011,Eastview High,Education Benefits Session,5,46,17,8,1,0.61,41
E1229,2026-05-10,S016,Cedar Grove High,General Recruiting Table,6,25,10,5,2,0.94,6
E1373,2026-05-10,S028,Mountain View High,Mechanical Careers Demo,10,44,10,4,1,0.78,34
E1470,2026-05-10,S035,Union High,STEM Careers Presentation,8,30,14,10,3,0.86,23
E1297,2026-05-11,S022,Kennedy High,Education Benefits Session,7,40,14,9,5,0.67,22
E1307,2026-05-11,S023,Jackson High,General Recruiting Table,3,40,5,2,0,0.77,38
E1381,2026-05-11,S028,Mountain View High,Education Benefits Session,4,39,16,9,4,0.78,34
E1382,2026-05-11,S028,Mountain View High,Education Benefits Session,4,51,17,9,4,0.78,34
E1457,2026-05-11,S034,Pioneer High,Healthcare Careers Session,5,29,7,4,1,0.68,39
E1459,2026-05-12,S034,Pioneer High,Healthcare Careers Session,8,26,9,3,1,0.68,39
E1210,2026-05-13,S015,Summit High,Mechanical Careers Demo,8,42,8,5,2,0.86,16
E1209,2026-05-14,S015,Summit High,Mechanical Careers Demo,7,48,15,8,2,0.86,16
E1272,2026-05-14,S021,Hamilton High,Cyber Careers Event,9,23,10,4,1,0.69,33
E1477,2026-05-14,S035,Union High,Healthcare Careers Session,7,46,16,9,2,0.86,23
E1189,2026-05-15,S014,Oak Valley High,Mechanical Careers Demo,8,31,10,7,5,0.72,9
E1305,2026-05-15,S023,Jackson High,Healthcare Careers Session,6,49,17,8,1,0.77,38
E1224,2026-05-17,S016,Cedar Grove High,Healthcare Careers Session,8,32,10,6,2,0.94,6
E1282,2026-05-17,S021,Hamilton High,Healthcare Careers Session,5,50,16,11,4,0.69,33
E1123,2026-05-18,S007,Madison High,General Recruiting Table,4,22,7,4,1,0.77,35
E1364,2026-05-21,S028,Mountain View High,Cyber Careers Event,7,28,12,6,1,0.78,34
E1428,2026-05-21,S032,Redstone High,General Recruiting Table,6,41,8,4,1,0.85,36
E1431,2026-05-21,S033,Horizon High,Cyber Careers Event,8,38,7,2,0,0.94,10
E1035,2026-05-22,S002,Jefferson High,Healthcare Careers Session,8,41,9,5,2,0.92,12
E1443,2026-05-22,S033,Horizon High,Education Benefits Session,7,40,10,8,1,0.94,10
E1330,2026-05-23,S025,Wilson High,Mechanical Careers Demo,9,35,6,3,0,0.71,13
E1346,2026-05-23,S026,Heritage High,Healthcare Careers Session,8,40,14,8,1,0.96,39
E1253,2026-05-24,S019,Monroe High,STEM Careers Presentation,6,27,13,8,1,0.61,30
E1066,2026-05-25,S004,Roosevelt High,Mechanical Careers Demo,8,46,10,5,1,0.95,6
E1031,2026-05-26,S002,Jefferson High,STEM Careers Presentation,7,32,13,8,5,0.92,12
E1232,2026-05-26,S017,Parkview High,STEM Careers Presentation,8,27,14,6,3,0.92,19
E1019,2026-05-27,S001,Lincoln High,Education Benefits Session,4,49,18,2,0,0.9,8
E1045,2026-05-27,S003,Washington High,Cyber Careers Event,8,48,16,7,5,0.72,18
E1306,2026-05-27,S023,Jackson High,General Recruiting Table,5,48,15,8,2,0.77,38
E1110,2026-05-29,S007,Madison High,Mechanical Careers Demo,10,53,20,14,8,0.77,35
E1211,2026-05-30,S015,Summit High,Healthcare Careers Session,6,34,16,8,5,0.86,16
E1388,2026-05-30,S029,Harbor High,Mechanical Careers Demo,10,45,19,10,7,0.67,13
E1480,2026-05-30,S035,Union High,Education Benefits Session,5,44,8,6,2,0.86,23
E1072,2026-05-31,S004,Roosevelt High,Healthcare Careers Session,8,45,19,12,6,0.95,6
E1226,2026-05-31,S016,Cedar Grove High,Education Benefits Session,5,46,10,7,4,0.94,6
E1261,2026-05-31,S019,Monroe High,Education Benefits Session,4,42,8,5,1,0.61,30
E1030,2026-06-01,S002,Jefferson High,STEM Careers Presentation,5,28,16,7,4,0.92,12
E1192,2026-06-01,S014,Oak Valley High,Healthcare Careers Session,5,35,14,5,0,0.72,9
E1425,2026-06-01,S032,Redstone High,Education Benefits Session,7,44,9,4,1,0.85,36
E1447,2026-06-01,S033,Horizon High,General Recruiting Table,6,30,11,6,1,0.94,10
E1001,2026-06-02,S001,Lincoln High,Cyber Careers Event,9,42,20,5,2,0.9,8
E1182,2026-06-02,S013,Pine Ridge High,Healthcare Careers Session,7,38,13,7,0,0.75,46
E1142,2026-06-03,S009,Central High,Mechanical Careers Demo,7,46,11,8,1,0.8,12
E1186,2026-06-03,S013,Pine Ridge High,General Recruiting Table,4,29,13,6,1,0.75,46
E1407,2026-06-03,S031,Greenfield High,Mechanical Careers Demo,10,22,7,4,0,0.73,17
E1468,2026-06-03,S035,Union High,STEM Careers Presentation,5,32,11,6,2,0.86,23
E1274,2026-06-05,S021,Hamilton High,STEM Careers Presentation,5,34,12,6,0,0.69,33
E1176,2026-06-06,S012,Westfield High,Healthcare Careers Session,7,47,14,7,1,0.63,26
E1368,2026-06-06,S028,Mountain View High,STEM Careers Presentation,7,34,9,6,1,0.78,34
E1191,2026-06-07,S014,Oak Valley High,Healthcare Careers Session,5,45,9,3,0,0.72,9
E1294,2026-06-07,S022,Kennedy High,Mechanical Careers Demo,10,21,8,3,0,0.67,22
E1408,2026-06-09,S031,Greenfield High,Mechanical Careers Demo,9,37,7,2,0,0.73,17
E1213,2026-06-10,S015,Summit High,Healthcare Careers Session,7,39,17,10,5,0.86,16
E1222,2026-06-12,S016,Cedar Grove High,Mechanical Careers Demo,7,45,10,7,0,0.94,6
E1256,2026-06-13,S019,Monroe High,Mechanical Careers Demo,7,24,6,2,0,0.61,30
E1074,2026-06-14,S004,Roosevelt High,General Recruiting Table,6,46,11,7,1,0.95,6
E1183,2026-06-15,S013,Pine Ridge High,Healthcare Careers Session,8,42,8,5,0,0.75,46
E1321,2026-06-15,S024,Grant High,Education Benefits Session,5,34,8,4,2,0.74,46
E1003,2026-06-16,S001,Lincoln High,Cyber Careers Event,7,54,23,6,2,0.9,8
E1043,2026-06-16,S002,Jefferson High,General Recruiting Table,5,34,10,7,2,0.92,12
E1109,2026-06-16,S007,Madison High,STEM Careers Presentation,8,52,17,10,5,0.77,35
E1292,2026-06-16,S022,Kennedy High,STEM Careers Presentation,7,29,12,7,1,0.67,22
E1010,2026-06-17,S001,Lincoln High,Mechanical Careers Demo,9,65,31,13,7,0.9,8
E1215,2026-06-17,S015,Summit High,General Recruiting Table,6,48,12,8,1,0.86,16
E1089,2026-06-18,S005,North County Tech,General Recruiting Table,5,21,6,3,1,0.8,22
E1152,2026-06-19,S010,Riverside High,STEM Careers Presentation,5,27,13,5,0,0.9,6
E1435,2026-06-19,S033,Horizon High,Mechanical Careers Demo,7,38,11,8,2,0.94,10
E1098,2026-06-21,S006,Lakeside Academy,Healthcare Careers Session,6,38,16,10,4,0.94,32
E1155,2026-06-23,S010,Riverside High,Mechanical Careers Demo,9,38,12,6,0,0.9,6
E1328,2026-06-23,S025,Wilson High,STEM Careers Presentation,8,46,11,8,2,0.71,13
E1410,2026-06-23,S031,Greenfield High,General Recruiting Table,5,32,13,5,1,0.73,17
E1296,2026-06-24,S022,Kennedy High,Mechanical Careers Demo,8,49,16,7,0,0.67,22
E1331,2026-06-24,S025,Wilson High,Mechanical Careers Demo,7,30,11,5,0,0.71,13
E1416,2026-06-24,S032,Redstone High,STEM Careers Presentation,6,37,9,7,5,0.85,36
E1075,2026-06-25,S004,Roosevelt High,General Recruiting Table,3,24,9,5,0,0.95,6
E1319,2026-06-26,S024,Grant High,Healthcare Careers Session,8,30,7,5,0,0.74,46
E1162,2026-06-28,S011,Eastview High,Mechanical Careers Demo,10,28,7,4,2,0.61,41
E1398,2026-06-28,S030,Brookside High,Mechanical Careers Demo,9,27,15,8,1,0.61,9
E1412,2026-06-28,S032,Redstone High,Cyber Careers Event,7,36,16,8,1,0.85,36
E1022,2026-06-29,S001,Lincoln High,General Recruiting Table,4,46,16,4,1,0.9,8
E1455,2026-07-01,S034,Pioneer High,Mechanical Careers Demo,9,31,8,5,0,0.68,39
E1071,2026-07-03,S004,Roosevelt High,Healthcare Careers Session,5,30,15,9,4,0.95,6
E1395,2026-07-03,S029,Harbor High,General Recruiting Table,3,33,13,8,1,0.67,13
E1430,2026-07-03,S033,Horizon High,Cyber Careers Event,6,38,12,4,0,0.94,10
E1449,2026-07-03,S034,Pioneer High,Cyber Careers Event,7,38,11,3,1,0.68,39
E1463,2026-07-03,S034,Pioneer High,General Recruiting Table,3,49,13,4,1,0.68,39
E1170,2026-07-04,S012,Westfield High,Cyber Careers Event,8,29,11,6,2,0.63,26
E1251,2026-07-04,S019,Monroe High,STEM Careers Presentation,6,23,10,6,1,0.61,30
E1073,2026-07-05,S004,Roosevelt High,General Recruiting Table,5,28,13,5,1,0.95,6
E1250,2026-07-06,S019,Monroe High,STEM Careers Presentation,6,43,10,8,1,0.61,30
E1374,2026-07-06,S028,Mountain View High,Mechanical Careers Demo,9,27,13,4,1,0.78,34
E1481,2026-07-06,S036,Victory High,Education Benefits Session,7,48,13,8,2,0.74,14
E1360,2026-07-07,S027,Valley Tech,Education Benefits Session,6,33,8,5,0,0.76,11
E1273,2026-07-08,S021,Hamilton High,STEM Careers Presentation,5,31,10,5,1,0.69,33
E1293,2026-07-08,S022,Kennedy High,STEM Careers Presentation,8,47,12,5,1,0.67,22
E1419,2026-07-08,S032,Redstone High,STEM Careers Presentation,7,52,17,11,5,0.85,36
E1064,2026-07-10,S004,Roosevelt High,Cyber Careers Event,8,47,15,6,0,0.95,6
E1423,2026-07-10,S032,Redstone High,Healthcare Careers Session,8,48,12,3,0,0.85,36
E1164,2026-07-11,S011,Eastview High,Education Benefits Session,7,41,13,8,3,0.61,41
E1230,2026-07-11,S017,Parkview High,STEM Careers Presentation,7,41,17,10,3,0.92,19
E1325,2026-07-11,S025,Wilson High,Cyber Careers Event,7,45,17,13,6,0.71,13
E1338,2026-07-12,S025,Wilson High,Education Benefits Session,4,33,12,7,0,0.71,13
E1047,2026-07-13,S003,Washington High,Cyber Careers Event,8,49,15,11,5,0.72,18
E1413,2026-07-14,S032,Redstone High,Cyber Careers Event,8,43,13,5,2,0.85,36
E1100,2026-07-17,S006,Lakeside Academy,Healthcare Careers Session,7,33,11,8,5,0.94,32
E1214,2026-07-17,S015,Summit High,Healthcare Careers Session,8,36,14,12,6,0.86,16
E1243,2026-07-18,S018,Liberty High,Education Benefits Session,5,25,10,3,1,0.82,44
E1313,2026-07-19,S024,Grant High,STEM Careers Presentation,5,42,15,6,1,0.74,46
E1104,2026-07-20,S007,Madison High,Cyber Careers Event,6,31,10,7,2,0.77,35
E1339,2026-07-21,S025,Wilson High,General Recruiting Table,6,29,7,3,1,0.71,13
E1370,2026-07-21,S028,Mountain View High,STEM Careers Presentation,6,37,7,5,0,0.78,34
E1124,2026-07-23,S007,Madison High,General Recruiting Table,6,27,8,5,2,0.77,35
E1093,2026-07-24,S006,Lakeside Academy,STEM Careers Presentation,8,23,11,4,1,0.94,32
E1096,2026-07-24,S006,Lakeside Academy,Mechanical Careers Demo,10,47,14,9,2,0.94,32
E1116,2026-07-24,S007,Madison High,Healthcare Careers Session,7,33,14,8,1,0.77,35
E1206,2026-07-24,S015,Summit High,STEM Careers Presentation,5,26,8,3,1,0.86,16
E1120,2026-07-25,S007,Madison High,Education Benefits Session,4,34,16,7,1,0.77,35
E1202,2026-07-28,S015,Summit High,Cyber Careers Event,8,46,11,2,0,0.86,16
E1372,2026-07-28,S028,Mountain View High,Mechanical Careers Demo,7,24,10,4,0,0.78,34
E1386,2026-07-28,S029,Harbor High,STEM Careers Presentation,6,36,17,8,1,0.67,13
E1125,2026-07-31,S008,Franklin High,Cyber Careers Event,6,33,7,5,1,0.71,47
E1169,2026-07-31,S012,Westfield High,Cyber Careers Event,6,47,14,7,1,0.63,26
