engagement_id,event_date,school_name,action,recruiter_hours,contacts,appointments,qualified,contracts,access_score,distance_miles
E1056,2026-04-17,WASHINGTON HIGH,Health Careers Session,6,41,10,7,1,0.72,18
E1053,03/05/2026,Washington High,Mechanical Careers Demo,9,48,21,12,7,0.72,18
E1422,2025-10-23,Redstone High School,Health Careers Session,8,44,11,5,0,0.85,36
E1372,2026/07/28,Mountain View High,Mech Careers Demo,7,24,10,4,0,0.78,34
E1246,2025-09-05,Liberty High,General Recruiting Table,4,31,12,8,3,0.82,44
E1265,2026/02/13,ADAMS HIGH,STEM Presentation,5,36,9,7,2,0.61,20
E1475,05/04/2026,Union High,Healthcare Career Session,8,36,16,7,4,0.86,23
E1402,2025-09-25,  Brookside High ,General Recruitment Table,4,34,9,6,4,0.61,9
E1006,2025-09-17,  Lincoln High ,STEM Presentation,5,46,25,7,1,0.9,8
E1383,2026/03/17,Harbor High,STEM Presentation,6,39,12,6,2,0.67,13
E1121,2026-03-24,MADISON HIGH,General Recruitment Table,4,36,17,8,1,0.77,35
E1107,2026-02-13,  Madison High ,STEM Presentation,5,55,19,10,3,0.77,35
E1181,2026-04-28,Pine Ridge HS,Cyber Career Event,9,54,19,14,8,0.75,46
,03/27/2026,SUMMIT HIGH,Mechanical Career Demo,9,34,15,7,2,0.86,16
E1452,11/03/2025,Pioneer High,STEM Career Presentation,8,39,8,6,1,0.68,39
E1122,2026-02-22,  Madison High ,General Recruiting Table,4,39,8,3,0,0.77,35
E1109,2026-06-16,Madison High,STEM Career Presentation,8,52,17,10,5,0.77,35
E1270,2026-01-19,ADAMS HIGH,Education Benefit Session,5,44,16,8,1,0.61,20
E1425,2026-06-01,Redstone High,Education Benefits Session,7,44,9,4,1,0.85,36
E1450,2026/02/14,Pioneer High,STEM Presentation,7,30,8,4,1,0.68,39
E1406,12/25/2025,Greenfield High School,STEM Careers Presentation,8,28,12,9,2,0.73,17
E1428,05/21/2026,Redstone High,Recruiting Table,6,41,8,4,1,0.85,36
E1043,"Jun 16, 2026",Jefferson High,Recruiting Table,5,34,10,7,2,0.92,12
E1281,2025-11-27,HAMILTON HIGH,Healthcare Careers Session,6,49,20,11,5,0.69,33
E1457,2026-05-11,  Pioneer High ,Healthcare Career Session,5,29,7,4,1,0.68,39
E1257,2026-04-18,Monroe High School,Health Careers Session,8,31,13,6,1,0.61,30
E1166,2025-12-26,Eastview HS,Recruiting Table,6,40,11,5,0,0.61,41
E1239,09/15/2025,Liberty High,Mechanical Careers Demo,8,51,15,7,1,0.82,44
E1248,2025-12-27,MONROE HIGH,Cyber Careers Event,8,28,15,13,7,0.61,30
E1413,2026-07-14,Redstone High School,CYBER CAREERS EVENT,8,43,13,5,2,0.85,36
E1392,2026/01/19,Harbor High,Benefits Session,4,25,9,5,0,0.67,13
E1462,"May 1, 2026",Pioneer High,Recruiting Table,5,31,11,7,1,0.68,39
E1476,2025-12-21,Union High,Health Careers Session,7,37,13,6,3,0.86,23
E1451,10/28/2025,Pioneer High,STEM Presentation,5,47,14,5,1,0.68,39
E1171,2026/04/11,Westfield High,Cyber Career Event,8,22,9,6,2,0.63,26
E1361,2025/11/09,  Valley Tech ,Recruiting Table,6,37,9,5,1,0.76,11
E1332,12/27/2025,WILSON HIGH,Mechanical Career Demo,7,23,11,4,0,0.71,13
E1427,"Jan 20, 2026",Redstone HS,Recruiting Table,4,33,12,8,1,0.85,36
E1044,2026-03-28,Jefferson High,General Recruiting Table,5,37,11,8,2,0.92,12
E1063,2026-02-20,Roosevelt High School,CYBER CAREERS EVENT,8,45,14,5,0,0.95,6
E1100,2026/07/17,Lakeside Academy,Health Careers Session,7,33,11,8,5,0.94,32
E1414,2025-12-06,Redstone High,CYBER CAREERS EVENT,9,47,16,10,3,0.85,36
E1290,2025-09-18,Hamilton High,General Recruiting Table,5,30,17,8,1,0.69,33
E1061,2025-09-24,Washington High,General Recruitment Table,3,26,11,5,1,0.72,18
E1152,2026-06-19,Riverside High,STEM Career Presentation,5,27,13,5,0,0.9,6
E1294,2026-06-07,Kennedy High,Mechanical Career Demo,10,21,8,3,0,0.67,22
E1256,2026-06-13,Monroe High,Mechanical Careers Demo,7,24,6,2,0,0.61,30
E1082,2026-05-09,North County Tech,Mechanical Careers Demo,9,46,16,14,8,0.8,22
E1244,2026-01-14,Liberty High,General Recruiting Table,3,42,13,8,3,0.82,44
E1210,2026-05-13,SUMMIT HIGH,Mechanical Careers Demo,8,42,8,5,2,0.86,16
E1344,2025-10-20,Heritage High,Mechanical Careers Demo,8,26,14,11,6,0.96,39
E1258,2026-04-23,MONROE HIGH,Healthcare Career Session,6,31,11,3,1,0.61,30
E1042,2025/12/09,Jefferson HS,Recruiting Table,6,50,19,10,3,0.92,12
E1441,2026-01-14,Horizon HS,Education Benefits Session,7,40,14,8,1,0.94,10
E1291,2026/03/08,  Kennedy High ,STEM Career Presentation,8,27,11,5,1,0.67,22
E1350,12/25/2025,Heritage HS,General Recruiting Table,5,34,11,7,1,0.96,39
E1333,2025-10-22,Wilson High,Healthcare Career Session,5,23,8,2,0,0.71,13
E1156,,Riverside High School,Mechanical Career Demo,10,36,11,5,0,0.9,6
E1395,2026-07-03,HARBOR HIGH,General Recruitment Table,3,33,13,8,1,0.67,13
E1298,2026/03/13,Kennedy High,Benefits Session,7,48,16,8,5,0.67,22
E1373,2026-05-10,Mountain View High School,Mech Careers Demo,10,44,10,4,1,0.78,34
E1203,2026-02-10,Summit High,CYBER CAREERS EVENT,6,31,4,2,0,0.86,16
E1443,2026-05-22,Horizon High,Benefits Session,7,40,10,8,1,0.94,10
E1334,2025-10-19,Wilson High,Healthcare Careers Session,7,45,12,4,0,0.71,13
E1163,2026-04-20,Eastview High School,Education Benefit Session,7,31,8,5,2,0.61,41
E1287,2025/12/16,HAMILTON HIGH,Recruiting Table,5,34,14,6,0,0.69,33
E1439,2026-04-06,Horizon High School,Healthcare Careers Session,5,44,14,7,4,0.94,10
E1094,2026/01/07,,Mechanical Career Demo,10,23,9,4,2,0.94,32
E1032,2026/01/13,Jefferson High,STEM Career Presentation,7,34,11,14,5,0.92,12
E1057,2025-10-26,Washington HS,Education Benefits Session,4,45,11,7,2,0.72,18
E1176,06/06/2026,Westfield High,Healthcare Careers Session,7,47,14,7,1,0.63,26
E1240,2026/01/28,Liberty HS,Healthcare Careers Session,7,33,9,5,1,0.82,44
E1285,2026-04-12,Hamilton High,Education Benefit Session,5,36,11,6,1,0.69,33
E1221,"Apr 29, 2026",Cedar Grove High,Mechanical Career Demo,7,34,10,7,1,0.94,6
E1001,2026/06/02,LINCOLN HIGH,CYBER CAREERS EVENT,9,42,20,5,2,0.9,8
E1003,2026-06-16,Lincoln High,Cyber Careers Event,7,54,23,6,2,0.9,8
E1135,05/07/2026,FRANKLIN HIGH,Health Careers Session,6,43,15,9,3,0.71,47
E1364,2026/05/21,Mountain View High,Cyber Career Event,7,28,12,6,1,0.78,34
E1073,2026-07-05,Roosevelt High,Recruiting Table,5,28,13,5,1,0.95,6
,09/23/2025,Roosevelt High,CYBER CAREERS EVENT,6,28,6,2,0,0.95,6
E1446,2025-10-29,Horizon High,General Recruitment Table,5,34,12,4,1,0.94,10
E1360,07/07/2026,  Valley Tech ,Benefits Session,6,33,8,5,0,0.76,11
E1004,2026-02-28,Lincoln High,Cyber Careers Event,6,34,17,3,1,0.9,8
E1154,2026-02-18,Riverside High,STEM Careers Presentation,5,48,12,5,0,0.9,6
E1060,2026-03-29,  Washington High ,General Recruitment Table,3,22,9,3,1,0.72,18
E1226,05/31/2026,Cedar Grove High,Education Benefits Session,5,46,10,7,4,0.94,6
E1454,2026-01-31,Pioneer High,Mech Careers Demo,8,43,17,8,1,0.68,39
E1120,07/25/2026,Madison High,Education Benefit Session,4,34,16,7,1,0.77,35
E1184,11/29/2025,PINE RIDGE HIGH,Healthcare Careers Session,7,35,8,5,0,0.75,46
E1161,2025-12-10,EASTVIEW HIGH,Mechanical Careers Demo,9,31,8,4,2,0.61,41
E1028,11/11/2025,Jefferson High,CYBER CAREERS EVENT,9,43,18,13,7,0.92,12
E1311,2026-03-03,Grant High,Cyber Careers Event,8,41,7,3,1,0.74,46
,2026-01-28,Mountain View High,Cyber Career Event,7,45,10,2,0,0.78,34
E1365,2026/03/06,Mountain View High,Cyber Careers Event,9,30,13,6,0,0.78,34
E1036,2025-12-30,Jefferson High,Healthcare Careers Session,5,25,10,5,2,0.92,12
E1140,2026/01/17,CENTRAL HIGH,Cyber Careers Event,6,25,11,4,0,0.8,12
E1052,2026-02-26,WASHINGTON HIGH,Mechanical Career Demo,8,59,23,14,7,0.72,18
E1177,02/12/2026,Westfield High,Health Careers Session,5,37,5,3,1,0.63,26
E1465,2025-11-26,  Pioneer High ,General Recruiting Table,5,20,6,4,2,0.68,39
E1222,2026/06/12,Cedar Grove High,Mechanical Careers Demo,7,45,10,7,0,0.94,6
E1237,2026-05-07,Parkview High,Healthcare Career Session,8,43,16,9,4,0.92,19
E1367,"Mar 24, 2026",Mountain View High,CYBER CAREERS EVENT,9,31,4,2,0,0.78,34
E1382,2026-05-11,Mountain View High,Benefits Session,4,51,17,9,4,0.78,34
E1289,"Jul 15, 2026",Hamilton High,General Recruiting Table,-2,21,9,6,1,0.69,33
E1067,2025-10-05,Roosevelt HS,Mech Careers Demo,10,33,5,3,1,0.95,6
E1252,09/10/2025,MONROE HIGH,STEM Career Presentation,6,28,13,4,2,0.61,30
E1115,03/13/2026,Madison High,Health Careers Session,7,32,7,4,1,0.77,35
E1071,2026-07-03,Roosevelt High,Healthcare Career Session,5,30,15,9,4,0.95,6
E1456,2026-03-04,Pioneer HS,Healthcare Career Session,7,22,9,7,1,0.68,39
E1070,"Oct 24, 2025",Roosevelt HS,Health Careers Session,6,53,17,11,5,0.95,6
E1359,2025-09-27,Valley Tech,Benefits Session,5,48,14,5,1,0.76,11
E1106,2025-12-10,Madison HS,STEM Career Presentation,6,29,9,6,3,0.77,35
E1103,2025-12-29,  Lakeside Academy ,Recruiting Table,4,24,8,5,1,0.94,32
E1083,"Mar 23, 2026",  North County Tech ,Mechanical Career Demo,7,48,17,9,6,0.8,22
E1192,06/01/2026,Oak Valley High,Healthcare Careers Session,5,35,14,5,0,0.72,9
E1437,2026-02-22,Horizon High,Mechanical Careers Demo,9,37,10,7,3,0.94,10
E1431,05/21/2026,HORIZON HIGH,CYBER CAREERS EVENT,8,38,7,2,0,0.94,10
E1111,2025-12-26,MADISON HIGH,Mechanical Career Demo,10,46,16,10,8,0.77,35
E1021,2026-01-31,Lincoln High,General Recruiting Table,3,43,19,4,0,0.9,8
E1231,2026-04-30,Parkview High,STEM Careers Presentation,6,30,15,10,3,0.92,19
E1349,2026/01/14,Heritage High,General Recruitment Table,4,45,11,6,0,0.96,39
E1022,2026-06-29,Lincoln High,General Recruiting Table,4,46,16,4,1,0.9,8
E1417,2025-09-19,Redstone High,STEM Presentation,6,37,12,8,5,0.85,36
E1330,2026-05-23,Wilson High,Mechanical Careers Demo,9,35,6,3,0,0.71,13
E1459,"May 12, 2026",Pioneer High School,Healthcare Career Session,8,26,9,3,1,0.68,39
E1024,2026-03-26,Lincoln HS,General Recruiting Table,5,43,20,3,0,0.9,8
E1464,"Nov 1, 2025",Pioneer High School,Recruiting Table,4,36,16,8,2,0.68,39
E1223,01/24/2026,Cedar Grove High,Health Careers Session,8,40,9,5,2,0.94,6
E1232,2026/05/26,Parkview HS,STEM Careers Presentation,8,27,14,6,3,0.92,19
E1341,12/28/2025,Wilson High,Recruiting Table,6,36,12,3,0,0.71,13
E1317,2025-10-16,Grant High,Mechanical Careers Demo,7,36,8,6,1,0.74,46
E1343,2026-03-24,Heritage High School,Mechanical Careers Demo,10,29,17,9,7,0.96,39
E1445,2025-09-14,Horizon High School,General Recruiting Table,6,29,14,7,0,0.94,10
E1075,2026-06-25,Roosevelt High,General Recruitment Table,3,24,9,5,0,0.95,6
E1375,2026/03/01,Mountain View High,Healthcare Career Session,8,34,13,8,3,0.78,34
E1389,2026-03-22,Harbor High,Mechanical Careers Demo,7,35,16,12,5,0.67,13
E1288,04/11/2026,HAMILTON HIGH,Recruiting Table,4,41,13,6,1,0.69,33
E1261,05/31/2026,MONROE HIGH,Education Benefit Session,4,42,8,5,1,0.61,30
E1195,2026-01-30,Oak Valley High,Education Benefit Session,6,29,15,6,1,0.72,9
E1374,2026-07-06,Mountain View High School,Mech Careers Demo,9,27,13,4,1,0.78,34
E1362,2025-12-24,Valley Tech,General Recruitment Table,6,46,11,4,0,0.76,11
E1411,2025-11-26,Greenfield HS,General Recruitment Table,5,-5,9,5,0,0.73,17
E1112,2026-01-06,Madison High,Mech Careers Demo,9,53,18,13,8,0.77,35
E1352,2025/11/01,Heritage High,General Recruitment Table,4,40,9,3,1,0.96,39
E1145,2025-11-09,CENTRAL HIGH,Healthcare Career Session,5,32,13,8,4,0.8,12
E1034,2026/02/15,Jefferson High,Healthcare Careers Session,6,35,15,8,2,0.92,12
E1473,"Feb 6, 2026",Union High,Mech Careers Demo,8,47,11,8,3,0.86,23
E1050,01/28/2026,Washington High,STEM Presentation,-2,27,10,8,-2,0.72,18
E1442,2025-10-20,Horizon High,Benefits Session,7,48,16,7,1,0.94,10
E1055,2025-11-24,Washington High,Healthcare Careers Session,5,33,10,6,1,0.72,18
E1008,2026-01-22,Lincoln High,STEM Career Presentation,6,58,25,8,2,0.9,8
E1356,2026/02/17,Valley Tech,Healthcare Careers Session,5,52,20,11,4,0.76,11
E1250,07/06/2026,MONROE HIGH,STEM Career Presentation,6,43,10,8,1,0.61,30
E1229,2026-05-10,Cedar Grove High School,Recruiting Table,6,25,10,5,2,0.94,6
E1477,05/14/2026,Union High,Health Careers Session,7,46,16,9,2,0.86,23
E1049,2025-12-26,Washington High,STEM Career Presentation,6,25,9,6,4,0.72,18
E1430,07/03/2026,Horizon HS,Cyber Career Event,6,38,12,4,0,0.94,10
E1086,2026-01-25,North County Tech,Education Benefit Session,5,33,10,4,1,0.8,22
E1186,2026/06/03,PINE RIDGE HIGH,General Recruitment Table,4,29,13,6,1,0.75,46
E1009,11/11/2025,Lincoln High School,Mechanical Careers Demo,10,56,26,13,8,0.9,8
E1429,2025-10-25,Redstone High,Recruiting Table,6,37,11,5,1,0.85,36
E1460,2025-11-26,Pioneer High,Education Benefits Session,5,48,19,11,4,0.68,39
E1077,2025-09-05,North County Tech,CYBER CAREERS EVENT,7,26,9,7,4,0.8,22
E1449,07/03/2026,Pioneer HS,Cyber Career Event,7,38,11,3,1,0.68,39
E1403,2025/09/04,Greenfield High,STEM Presentation,7,29,12,8,1,0.73,17
E1346,2026-05-23,Heritage HS,Health Careers Session,8,40,14,8,1,0.96,39
E1474,2025-12-01,Union High,Mechanical Careers Demo,10,30,15,10,3,0.86,23
E1352,2025/11/01,Heritage High,General Recruitment Table,4,40,9,3,1,0.96,39
E1035,05/22/2026,Jeffrson High,Healthcare Careers Session,8,41,9,5,2,0.92,12
E1434,11/04/2025,Horizon High,STEM Career Presentation,6,26,7,5,1,0.94,10
E1472,2025-10-23,Union High,Mech Careers Demo,8,50,16,10,3,0.86,23
E1027,12/26/2025,Jefferson High,CYBER CAREERS EVENT,6,31,9,7,5,0.92,12
E1238,2026-01-28,Liberty High,Mechanical Career Demo,10,19,6,4,1,0.82,44
E1002,2025-11-25,Lincoln High,CYBER CAREERS EVENT,9,32,18,6,1,0.9,8
E1178,11/19/2025,Westfield High,General Recruiting Table,5,52,16,7,4,0.63,26
E1058,2026-03-25,  Washington High ,Education Benefits Session,6,49,14,7,3,0.72,18
E1076,2025/09/10,North County Tech,Cyber Career Event,9,36,16,8,5,0.8,22
E1059,09/04/2025,Washington High,Benefits Session,7,45,10,7,3,0.72,18
E1209,2026-05-14,  Summit High ,Mechanical Career Demo,7,48,15,8,2,0.86,16
E1097,2025/10/22,  Lakeside Academy ,Mechanical Careers Demo,10,28,10,4,2,0.94,32
E1124,2026-07-23,Madison High School,General Recruiting Table,6,27,8,5,2,0.77,35
